id,name ,description ,thumbnail ,price,rating,priceDiscount
1,Sebastiano,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",https://ask.com/condimentum/id/luctus.png?at=rhoncus&feugiat=mauris&non=enim&pretium=leo&quis=rhoncus&lectus=sed&suspendisse=vestibulum&potenti=sit&in=amet&eleifend=cursus&quam=id&a=turpis&odio=integer&in=aliquet&hac=massa&habitasse=id&platea=lobortis&dictumst=convallis&maecenas=tortor&ut=risus&massa=dapibus&quis=augue&augue=vel&luctus=accumsan&tincidunt=tellus&nulla=nisi&mollis=eu&molestie=orci&lorem=mauris&quisque=lacinia&ut=sapien&erat=quis&curabitur=libero&gravida=nullam&nisi=sit&at=amet&nibh=turpis&in=elementum&hac=ligula&habitasse=vehicula&platea=consequat&dictumst=morbi&aliquam=a&augue=ipsum&quam=integer&sollicitudin=a&vitae=nibh&consectetuer=in&eget=quis&rutrum=justo&at=maecenas&lorem=rhoncus&integer=aliquam&tincidunt=lacus&ante=morbi&vel=quis&ipsum=tortor&praesent=id&blandit=nulla&lacinia=ultrices&erat=aliquet&vestibulum=maecenas&sed=leo&magna=odio&at=condimentum&nunc=id&commodo=luctus&placerat=nec&praesent=molestie&blandit=sed&nam=justo&nulla=pellentesque&integer=viverra&pede=pede&justo=ac&lacinia=diam&eget=cras&tincidunt=pellentesque,209,1.4,"Syntax error in formula 'if (random(1, 5) == 1) { null } else { random(50, 500) }'"
2,Merrile,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",http://psu.edu/semper/est/quam/pharetra/magna/ac.jpg?ante=ac&vivamus=nulla&tortor=sed&duis=vel&mattis=enim&egestas=sit&metus=amet&aenean=nunc&fermentum=viverra&donec=dapibus&ut=nulla&mauris=suscipit&eget=ligula&massa=in&tempor=lacus&convallis=curabitur&nulla=at&neque=ipsum&libero=ac&convallis=tellus&eget=semper&eleifend=interdum&luctus=mauris&ultricies=ullamcorper&eu=purus&nibh=sit,342,1.9,"Syntax error in formula 'if (random(1, 5) == 1) { null } else { random(50, 500) }'"
3,Phineas,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",http://nba.com/ac/diam/cras/pellentesque/volutpat/dui.html?ut=id&massa=justo&volutpat=sit&convallis=amet&morbi=sapien&odio=dignissim&odio=vestibulum&elementum=vestibulum&eu=ante&interdum=ipsum&eu=primis&tincidunt=in&in=faucibus&leo=orci&maecenas=luctus&pulvinar=et&lobortis=ultrices&est=posuere&phasellus=cubilia&sit=curae&amet=nulla&erat=dapibus&nulla=dolor&tempus=vel&vivamus=est&in=donec&felis=odio&eu=justo&sapien=sollicitudin&cursus=ut&vestibulum=suscipit&proin=a&eu=feugiat&mi=et&nulla=eros&ac=vestibulum&enim=ac&in=est&tempor=lacinia&turpis=nisi,350,2.2,"Syntax error in formula 'if (random(1, 5) == 1) { null } else { random(50, 500) }'"
4,Kaiser,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",https://wp.com/mi/nulla/ac.html?interdum=dolor&eu=sit&tincidunt=amet&in=consectetuer&leo=adipiscing&maecenas=elit&pulvinar=proin&lobortis=interdum&est=mauris&phasellus=non&sit=ligula&amet=pellentesque&erat=ultrices&nulla=phasellus&tempus=id&vivamus=sapien&in=in&felis=sapien&eu=iaculis,512,4.3,"Syntax error in formula 'if (random(1, 5) == 1) { null } else { random(50, 500) }'"
5,Torin,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",https://bigcartel.com/diam/vitae.aspx?tortor=massa&duis=id&mattis=nisl&egestas=venenatis&metus=lacinia&aenean=aenean&fermentum=sit&donec=amet&ut=justo&mauris=morbi&eget=ut&massa=odio&tempor=cras&convallis=mi&nulla=pede&neque=malesuada&libero=in&convallis=imperdiet&eget=et&eleifend=commodo&luctus=vulputate&ultricies=justo&eu=in&nibh=blandit&quisque=ultrices&id=enim&justo=lorem&sit=ipsum&amet=dolor&sapien=sit&dignissim=amet&vestibulum=consectetuer&vestibulum=adipiscing&ante=elit&ipsum=proin&primis=interdum&in=mauris&faucibus=non&orci=ligula&luctus=pellentesque&et=ultrices&ultrices=phasellus&posuere=id,539,4.7,"Syntax error in formula 'if (random(1, 5) == 1) { null } else { random(50, 500) }'"
6,Ysabel,In congue. Etiam justo. Etiam pretium iaculis justo.,http://moonfruit.com/lectus/suspendisse/potenti/in/eleifend.js?eros=cras&viverra=non&eget=velit&congue=nec&eget=nisi&semper=vulputate&rutrum=nonummy&nulla=maecenas&nunc=tincidunt&purus=lacus&phasellus=at&in=velit&felis=vivamus&donec=vel&semper=nulla&sapien=eget&a=eros&libero=elementum&nam=pellentesque&dui=quisque&proin=porta&leo=volutpat&odio=erat&porttitor=quisque&id=erat&consequat=eros&in=viverra&consequat=eget&ut=congue&nulla=eget&sed=semper&accumsan=rutrum&felis=nulla&ut=nunc&at=purus&dolor=phasellus&quis=in&odio=felis&consequat=donec&varius=semper,500,3.4,"Syntax error in formula 'if (random(1, 5) == 1) { null } else { random(50, 500) }'"
7,Marena,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,https://pcworld.com/pede/justo/eu/massa/donec/dapibus.js?enim=aenean&leo=sit&rhoncus=amet&sed=justo&vestibulum=morbi&sit=ut&amet=odio&cursus=cras&id=mi&turpis=pede&integer=malesuada&aliquet=in&massa=imperdiet&id=et&lobortis=commodo&convallis=vulputate&tortor=justo&risus=in&dapibus=blandit&augue=ultrices&vel=enim&accumsan=lorem&tellus=ipsum&nisi=dolor&eu=sit&orci=amet&mauris=consectetuer&lacinia=adipiscing&sapien=elit&quis=proin&libero=interdum&nullam=mauris&sit=non&amet=ligula,684,4.4,"Syntax error in formula 'if (random(1, 5) == 1) { null } else { random(50, 500) }'"
8,Hazlett,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",http://cbc.ca/nec/euismod/scelerisque.aspx?sapien=rutrum&in=at&sapien=lorem&iaculis=integer&congue=tincidunt&vivamus=ante&metus=vel&arcu=ipsum&adipiscing=praesent&molestie=blandit&hendrerit=lacinia&at=erat&vulputate=vestibulum&vitae=sed&nisl=magna&aenean=at&lectus=nunc&pellentesque=commodo&eget=placerat&nunc=praesent&donec=blandit&quis=nam&orci=nulla&eget=integer&orci=pede&vehicula=justo&condimentum=lacinia&curabitur=eget&in=tincidunt&libero=eget&ut=tempus&massa=vel&volutpat=pede&convallis=morbi&morbi=porttitor&odio=lorem&odio=id&elementum=ligula&eu=suspendisse&interdum=ornare&eu=consequat&tincidunt=lectus&in=in&leo=est&maecenas=risus&pulvinar=auctor&lobortis=sed&est=tristique&phasellus=in&sit=tempus&amet=sit&erat=amet&nulla=sem&tempus=fusce&vivamus=consequat&in=nulla&felis=nisl&eu=nunc&sapien=nisl&cursus=duis&vestibulum=bibendum&proin=felis&eu=sed&mi=interdum&nulla=venenatis&ac=turpis&enim=enim&in=blandit&tempor=mi&turpis=in&nec=porttitor&euismod=pede&scelerisque=justo&quam=eu&turpis=massa&adipiscing=donec&lorem=dapibus&vitae=duis&mattis=at&nibh=velit&ligula=eu,790,4.9,"Syntax error in formula 'if (random(1, 5) == 1) { null } else { random(50, 500) }'"
9,Jacqueline,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",https://imdb.com/mauris/morbi/non/lectus/aliquam/sit/amet.aspx?rutrum=magnis&nulla=dis&nunc=parturient&purus=montes&phasellus=nascetur&in=ridiculus&felis=mus&donec=vivamus&semper=vestibulum&sapien=sagittis&a=sapien&libero=cum&nam=sociis&dui=natoque&proin=penatibus&leo=et&odio=magnis&porttitor=dis&id=parturient&consequat=montes&in=nascetur&consequat=ridiculus&ut=mus&nulla=etiam&sed=vel&accumsan=augue&felis=vestibulum&ut=rutrum&at=rutrum&dolor=neque&quis=aenean&odio=auctor&consequat=gravida&varius=sem&integer=praesent&ac=id&leo=massa&pellentesque=id&ultrices=nisl&mattis=venenatis&odio=lacinia&donec=aenean&vitae=sit&nisi=amet&nam=justo&ultrices=morbi&libero=ut&non=odio&mattis=cras&pulvinar=mi&nulla=pede&pede=malesuada&ullamcorper=in&augue=imperdiet&a=et&suscipit=commodo&nulla=vulputate&elit=justo&ac=in&nulla=blandit&sed=ultrices&vel=enim&enim=lorem&sit=ipsum&amet=dolor&nunc=sit&viverra=amet&dapibus=consectetuer,364,4.2,"Syntax error in formula 'if (random(1, 5) == 1) { null } else { random(50, 500) }'"
10,Urson,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",http://cocolog-nifty.com/commodo/vulputate/justo/in.jpg?magnis=eget&dis=semper&parturient=rutrum&montes=nulla&nascetur=nunc&ridiculus=purus&mus=phasellus&vivamus=in&vestibulum=felis&sagittis=donec&sapien=semper&cum=sapien&sociis=a&natoque=libero&penatibus=nam&et=dui&magnis=proin&dis=leo&parturient=odio&montes=porttitor&nascetur=id&ridiculus=consequat&mus=in&etiam=consequat&vel=ut&augue=nulla&vestibulum=sed&rutrum=accumsan&rutrum=felis&neque=ut&aenean=at&auctor=dolor&gravida=quis&sem=odio&praesent=consequat&id=varius&massa=integer&id=ac&nisl=leo&venenatis=pellentesque&lacinia=ultrices&aenean=mattis&sit=odio&amet=donec&justo=vitae&morbi=nisi&ut=nam&odio=ultrices&cras=libero&mi=non&pede=mattis&malesuada=pulvinar&in=nulla&imperdiet=pede&et=ullamcorper&commodo=augue&vulputate=a&justo=suscipit&in=nulla&blandit=elit&ultrices=ac&enim=nulla&lorem=sed&ipsum=vel&dolor=enim&sit=sit&amet=amet&consectetuer=nunc&adipiscing=viverra&elit=dapibus&proin=nulla&interdum=suscipit&mauris=ligula&non=in&ligula=lacus&pellentesque=curabitur&ultrices=at&phasellus=ipsum&id=ac&sapien=tellus&in=semper&sapien=interdum&iaculis=mauris&congue=ullamcorper&vivamus=purus&metus=sit&arcu=amet&adipiscing=nulla&molestie=quisque&hendrerit=arcu&at=libero&vulputate=rutrum&vitae=ac&nisl=lobortis&aenean=vel&lectus=dapibus&pellentesque=at,824,1.4,"Syntax error in formula 'if (random(1, 5) == 1) { null } else { random(50, 500) }'"
